Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,REGN,31MAR2003,-0.687318499,-0.955379338,-0.765986766,15
Fama-French Plus Momentum,PNRA,26JUL2006,-0.170692412,-0.165656493,-0.159024819,15
Fama-French Plus Momentum,RTK,15DEC2009,-0.078571441,-0.416250832,-0.492896882,15
Fama-French Plus Momentum,SPNC,04SEP2008,-0.507514406,-0.135926283,-0.189707813,15
Fama-French Plus Momentum,GILD,28OCT2003,-0.094269825,0.0131400892,0.0007685244,15
Fama-French Plus Momentum,PLMD,17NOV2000,-0.565420562,-0.7552214,-0.723047257,15
Fama-French Plus Momentum,EP,29MAY2002,-0.347927424,-0.17042965,-0.16083421,15
Fama-French Plus Momentum,STEL,01APR2002,-0.509803932,-0.469448679,-0.347624699,15
Fama-French Plus Momentum,ADAT,27MAY2005,-0.377990429,-0.634315745,-0.572468974,15
Fama-French Plus Momentum,SHFL,12MAR2007,-0.119417056,-0.094196622,-0.089242179,15
Fama-French Plus Momentum,CRY,26JUN2002,-0.437869832,-0.504944488,-0.411029723,15
Fama-French Plus Momentum,APSG,22FEB2005,-0.179999981,-0.094102482,-0.093593036,15
Fama-French Plus Momentum,JAH,11JAN2006,-0.147351017,-0.199795818,-0.19768691,15
Fama-French Plus Momentum,SCON,01MAR2004,-0.567877627,-0.223516813,-0.186176731,15
Fama-French Plus Momentum,SGY,06OCT2005,-0.224432784,-0.157951735,-0.140686406,15
Fama-French Plus Momentum,CASH,12OCT2010,-0.554374994,-0.572164155,-0.437908983,15
Fama-French Plus Momentum,DYII,18DEC2003,-0.499999991,-0.485554703,-0.664203088,15
Fama-French Plus Momentum,ZLC,05MAY2006,-0.101771782,0.0196770057,0.0178472623,15
Fama-French Plus Momentum,OMG,30OCT2002,-0.828527128,-1.049357826,-0.696756273,15
Fama-French Plus Momentum,MATK,27APR2005,-0.267508236,-0.267610956,-0.402561523,15
Fama-French Plus Momentum,VRTS,16JAN2003,0.0401111175,0.1303676997,0.120210689,15
Fama-French Plus Momentum,BZH,27MAR2007,-0.126563021,-0.080100687,-0.078469649,15
Fama-French Plus Momentum,ARTX,14NOV2005,-0.327586224,-0.10283154,-0.11321278,15
Fama-French Plus Momentum,SNIC,17MAY2007,-0.073909833,-0.01055082,-0.016310859,15
Fama-French Plus Momentum,CBR,03AUG2011,-0.39047618,-0.406730131,-0.352243988,15
Fama-French Plus Momentum,IBIS,12DEC2003,-0.345772566,-0.555354419,-0.518940695,15
Fama-French Plus Momentum,JOSB,07JUN2006,-0.319292357,-0.242327133,-0.235196145,15
Fama-French Plus Momentum,NPSP,02MAY2006,-0.410514528,-0.320657146,-0.313948908,15
