,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
121,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-02-10,8-K,-14 days +00:00:00.000000000
122,ADAT,27/05/2005,2011-01-27,2011,1,2071,7372,7.635787,1900000,885074.0,2011-03-15,8-K,-47 days +00:00:00.000000000
123,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-03-07,8-K,125 days 00:00:00.000000000
124,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-07-14,8-K,-4 days +00:00:00.000000000
125,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-10-06,8-K,-88 days +00:00:00.000000000
126,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-02-23,8-K,137 days 00:00:00.000000000
127,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-07-11,8-K,-1 days +00:00:00.000000000
128,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-06-12,8-K,28 days 00:00:00.000000000
129,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-07-13,8-K,-3 days +00:00:00.000000000
130,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-07-31,10-K,-21 days +00:00:00.000000000
131,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-09-11,8-K,-63 days +00:00:00.000000000
132,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-05-26,8-K,45 days 00:00:00.000000000
133,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-05-31,8-K,40 days 00:00:00.000000000
134,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-08-28,8-K,-49 days +00:00:00.000000000
135,ADEX,13/06/2006,2006-07-10,2006,7,27,3820,5.4116459,0,884498.0,2006-05-11,8-K,60 days 00:00:00.000000000
136,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-11-16,8-K,29 days 00:00:00.000000000
137,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-10-27,8-K,49 days 00:00:00.000000000
138,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-09-02,8-K,104 days 00:00:00.000000000
139,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-08-26,8-K,111 days 00:00:00.000000000
140,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-08-18,8-K,119 days 00:00:00.000000000
141,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-07-28,8-K,140 days 00:00:00.000000000
142,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-04-30,8-K,229 days 00:00:00.000000000
143,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-04-15,8-K,244 days 00:00:00.000000000
144,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-03-16,10-K,274 days 00:00:00.000000000
145,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-02-26,8-K,292 days 00:00:00.000000000
146,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-02-26,8-K,292 days 00:00:00.000000000
147,ADPI,13/12/2007,2009-12-15,2009,12,733,8090,6.597145599999999,0,1028087.0,2009-08-19,8-K,118 days 00:00:00.000000000
148,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-12-15,8-K,-188 days +00:00:00.000000000
149,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-11-16,8-K,-159 days +00:00:00.000000000
150,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-11-08,8-K,-151 days +00:00:00.000000000
151,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-10-19,8-K,-131 days +00:00:00.000000000
152,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-09-29,8-K,-111 days +00:00:00.000000000
153,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-12-16,8-K,-189 days +00:00:00.000000000
154,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-09-23,8-K,-105 days +00:00:00.000000000
155,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-09-21,8-K,-103 days +00:00:00.000000000
156,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-09-06,8-K,-88 days +00:00:00.000000000
