rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,34341210,FLUOR CORP NEW,FLR,A,0,COM,38.69,83025,33535170,44607104,4,29897673,227,10670615,69437272,0.063194647,0.836341728
3/31/2004,34354P10,FLOWSERVE CORP,FLS,A,0,COM,20.95,55260,17605439,25626419,4,14977662,172,4520255,49920860,0.036005562,0.903381469
3/31/2004,34583810,FOREST LABS INC,FRX,A,0,COM,71.62,367795,110893335,167176433,4,93253683,465,29682100,321416743,0.035926443,0.873901883
3/31/2004,35461310,FRANKLIN RES INC,BEN,A,0,COM,55.68,249411,30069097,47196553,0,,338,7351279,111306482,0.025161643,0.446277358
3/31/2004,36960410,GENERAL ELEC CO,GE,A,0,COM,30.52,10078669,1287651025,1953938672,0,,1315,380780459,5353241305,0.019772431,0.531145661
3/31/2004,37044210,GENERAL MTRS CORP,GM,A,0,COM,47.1,560751,214716496,263329973,2,167091116,536,99590916,423209113,0.089916131,0.754718428
3/31/2004,37184C10,GENESIS MICROCHIP INC DEL,GNSS,V,0,COM,16.75,32087,9075874,11878005,3,6881089,97,2495595,20070654,0.05474229,0.625507339
3/31/2004,37555810,GILEAD SCIENCES INC,GILD,V,0,COM,55.45,213781,47012877,75188616,0,,372,10627019,180347341,0.02411501,0.843607903
3/31/2004,37591610,GILDAN ACTIVEWEAR INC,GIL,A,0,COM,31.27,29547,9300555,11412684,2,6705702,28,3603402,12275611,0.173998619,0.415460487
3/31/2004,41316010,HARMONIC INC,HLIT,V,0,COM,9.71,71782,20155176,25965648,3,16755006,139,6951935,44940094,0.059509315,0.626063554
3/31/2004,41321630,HARMONY GOLD MNG LTD,HMY,V,+,AR,15.43,258439,16078520,24506820,0,,100,5322500,41475514,0.047998146,0.160484733
3/31/2004,41651510,HARTFORD FINL SVCS GROUP INC,HIG,A,0,COM,63.7,291345,62804679,95183479,2,37110748,474,20898826,243752645,0.024407851,0.836646055
3/31/2004,42222L10,HEALTHTRONICS SURGICAL SVS I,HTRN,V,0,COM,6.13,12384,3713793,4297233,4,3334705,30,923439,4759280,0.135178732,0.384308786
3/31/2004,42366C10,HEMISPHERX BIOPHARMA INC,HEB,B,0,COM,3.51,40835,1291204,1433383,0,,10,640700,1433383,0.28972804,0.035101824
3/31/2004,42739810,HERLEY INDS INC DEL,HRLY,V,0,COM,18.88,14113,2813674,4722348,1,920400,79,920400,10287759,0.033798823,0.728956211
3/31/2004,44248720,HOVNANIAN ENTERPRISES INC,HOV,A,0,CMA,43.15,46388,10153045,14510380,2,7020309,173,4211309,29780449,0.042265354,0.641986052
3/31/2004,45090910,IBIS TECHNOLOGY CORP,IBIS,V,0,COM,11.64,10651,1460754,2081594,0,,24,400000,2482399,0.089270614,0.233067224
3/31/2004,45252610,IMMUCOR INC,BLUD,V,0,COM,18.12,19683,6597147,9557501,4,5625847,93,1907436,15606229,0.050772537,0.792878575
3/31/2004,45884X10,INTERMUNE INC,ITMN,V,0,COM,19.5,31880,16539101,20600420,5,16539101,99,5086487,29394300,0.082598984,0.922029486
3/31/2004,45920010,INTERNATIONAL BUSINESS MACHS,IBM,A,0,COM,91.84,1814836,304810046,409243610,1,124460285,1150,124460285,903884170,0.035960659,0.49805281
3/31/2004,46025410,INTERNATIONAL RECTIFIER CORP,IRF,A,0,COM,45.99,65757,15329822,20509085,2,9501300,233,4753800,48354660,0.03147267,0.735353803
3/31/2004,46059V10,INTERNET INFRASTRUCTR HOLDS,IIH,B,7,COM,4.03,8711,1483308,1505308,1,1236108,8,1236108,1505308,0.682492801,0.172805418
3/31/2004,46625H10,J P MORGAN CHASE & CO,JPM,A,0,COM,41.95,2058166,408005752,571827468,2,228406850,986,125014950,1384617413,0.025755026,0.672743313
3/31/2004,4.70E+14,JAKKS PAC INC,JAKK,V,0,COM,14.99,25313,12008187,17428161,6,13430487,108,3087182,25451695,0.059545121,1.0054792
3/31/2004,47102R60,JANUS ADVISOR SER,JADE,I,7,COM,16.8,,24334,24334,0,,1,24334,24334,1,
3/31/2004,47110910,JARDEN CORP,JAH,A,0,COM,35.51,27031,7391929,11293269,3,5684730,126,2581480,26083041,0.031169886,0.964930672
3/31/2004,48083810,JOS A BANK CLOTHIERS INC,JOSB,V,0,COM,36.24,10508,3689146,5497896,1,1658643,101,1658643,11273354,0.042034486,1.072835364
