tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,tic
KVHI,2/7/2004,7/27/2007,2007,7,1120,3810,7.0210838,0,KVHI
LAB,15/10/2003,9/22/2008,2008,9,1804,6211,7.4977617,0,LAB
LAVA,12/4/2005,6/6/2008,2008,6,1151,7372,7.0483866,0,LAVA
LEAP,9/11/2007,3/24/2010,2010,3,866,4813,6.763885,0,LEAP
LF,21/10/2003,4/7/2008,2008,4,1630,3944,7.3963351,2.3,LF
LLNW,8/8/2007,11/15/2010,2010,11,1195,7389,7.0859013,0,LLNW
LMT,21/07/2009,2/15/2013,2013,2,1305,3721,7.1739583,0,LMT
LRN,16/12/2011,3/4/2013,2013,3,444,8211,6.0958247,0,LRN
LSCC,19/04/2004,8/2/2006,2006,8,835,3670,6.7274318,3.5,LSCC
LVLT,18/06/2001,5/5/2006,2006,5,1782,4810,7.4854918,10.25,LVLT
MATK,27/04/2005,12/14/2007,2007,12,961,2830,6.8679743,0,MATK
MBI,9/1/2008,9/6/2011,2011,9,1336,6351,7.1974354,0,MBI
MCK,27/04/1999,2/11/2005,2005,2,2117,5122,7.6577554,0,MCK
MDRX,13/02/2008,3/16/2012,2012,3,1493,7372,7.3085427,0,MDRX
MEAD,29/08/2006,10/15/2007,2007,10,412,3820,6.0210233,0,MEAD
MED,11/2/2002,7/14/2005,2005,7,1249,2834,7.1300983,0,MED
MGI,14/01/2008,3/9/2010,2010,3,785,7389,6.6656837,0,MGI
MLNK,8/6/2012,10/23/2014,2014,10,867,6719,6.765039,0,MLNK
MMC,14/10/2004,11/13/2009,2009,11,1856,6351,7.5261788,0,MMC
MNKD,19/01/2011,8/6/2012,2012,8,565,2834,6.3368258,0,MNKD
MOLX,14/02/2005,11/7/2006,2006,11,631,3670,6.4473057,0,MOLX
MRVL,3/10/2006,6/9/2009,2009,6,980,3674,6.8875527,1.09231,MRVL
MRX,24/09/2008,9/21/2011,2011,9,1092,2834,6.9957662,0,MRX
MS,2/12/2008,9/8/2014,2014,9,2106,6022,7.6525459,0,MS
MSO,24/07/2002,3/16/2007,2007,3,1696,2721,7.436028,0,MSO
MUSE,29/12/2003,6/24/2005,2005,6,543,7370,6.2971091,0,MUSE
NAFC,20/10/2005,3/11/2008,2008,3,873,5141,6.7719355,6.75,NAFC
NDN,3/2/2004,9/20/2006,2006,9,960,5331,6.8669333,0,NDN
NEM,26/04/2005,10/20/2006,2006,10,542,1041,6.2952662,0,NEM
NLST,16/04/2007,2/16/2010,2010,2,1037,3674,6.944087,2.6,NLST
NOVL,22/04/1997,2/24/2005,2005,2,2865,7370,7.9603238,13.9,NOVL
NPSP,2/5/2006,2/26/2009,2009,2,1031,2830,6.9382844,0,NPSP
NR,16/04/2006,7/27/2007,2007,7,467,3533,6.1463294,9.24,NR
NWPX,11/11/2009,9/24/2012,2012,9,1048,3310,6.954639,0,NWPX
OESX,6/2/2008,9/17/2010,2010,9,954,3641,6.8606639,0,OESX
OMG,30/10/2002,6/24/2005,2005,6,968,2869,6.8752322,92.4,OMG
ONP,22/07/2010,10/4/2012,2012,10,805,2621,6.6908422,0,ONP
OPXT,13/02/2008,10/6/2009,2009,10,601,3674,6.3985949,0,OPXT
ORA,24/02/2010,3/27/2012,2012,3,762,4911,6.6359468,3.1,ORA
ORBC,14/08/2007,5/22/2009,2009,5,647,4899,6.4723463,2.45,ORBC
OVTI,13/10/2011,12/30/2014,2014,12,1174,3674,7.068172,0,OVTI
PARS,17/12/2004,8/14/2007,2007,8,970,2830,6.877296,7,PARS
PAY,30/11/2007,8/9/2013,2013,8,2079,3578,7.6396422,0,PAY
PBH,28/07/2005,7/28/2009,2009,7,1461,2834,7.2868762,11,PBH
PCLN,26/09/2000,5/3/2007,2007,5,2410,7389,7.7873821,80,PCLN
PLCE,23/08/2007,7/17/2009,2009,7,694,5641,6.5424719,0,PLCE
