BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
MRVL,1,PricewaterhouseCoopers LLP,20080326,0,2008,02FEB2008,1,edgar/data/1058057/0001047469-08-003684.txt,2008-03-28,1 MB
MRVL,1,PricewaterhouseCoopers LLP,20070627,0,2007,27JAN2007,1,edgar/data/1058057/0001104659-07-051778.txt,2007-07-02,6 MB
MRVL,1,PricewaterhouseCoopers LLP,20060413,0,2006,31JAN2006,1,edgar/data/1058057/0001104659-06-025019.txt,2006-04-13,3 MB
MRVL,1,PricewaterhouseCoopers LLP,20050414,0,2005,31JAN2005,1,edgar/data/1058057/0001047469-05-010205.txt,2005-04-14,997 KB
MRVL,1,PricewaterhouseCoopers LLP,20040316,0,2004,31JAN2004,1,edgar/data/1058057/0000950134-04-005140.txt,2004-04-13,1 MB
MRVL,1,PricewaterhouseCoopers LLP,20030226,0,2003,31JAN2003,1,edgar/data/1058057/0000891618-03-002249.txt,2003-05-02,1 MB
MRVL,1,PricewaterhouseCoopers LLP,20020227,0,2002,31JAN2002,1,edgar/data/1058057/0000891618-02-002079.txt,2002-05-01,894 KB
MRVL,1,PricewaterhouseCoopers LLP,20010222,0,2001,31JAN2001,1,edgar/data/1058057/0001095811-01-501564.txt,2001-04-27,488 KB
MRVL,1,PricewaterhouseCoopers LLP,20000303,0,2000,31JAN2000,1,edgar/data/1058057/0000891618-00-002538.txt,2000-05-05,1 MB
MS,3,Deloitte & Touche LLP,20150302,0,2014,31DEC2014,1,edgar/data/895421/0001193125-15-071980.txt,2015-03-02,69 MB
MS,3,Deloitte & Touche LLP,20140225,0,2013,31DEC2013,1,edgar/data/895421/0001193125-14-067354.txt,2014-02-25,62 MB
MS,3,Deloitte & Touche LLP,20130226,0,2012,31DEC2012,1,edgar/data/895421/0001193125-13-077191.txt,2013-02-26,56 MB
MS,3,Deloitte & Touche LLP,20120227,0,2011,31DEC2011,1,edgar/data/895421/0001193125-12-081807.txt,2012-02-27,51 MB
MS,3,Deloitte & Touche LLP,20110228,0,2010,31DEC2010,1,edgar/data/895421/0001193125-11-050049.txt,2011-02-28,61 MB
MS,3,Deloitte & Touche LLP,20100226,0,2009,31DEC2009,1,edgar/data/895421/0001193125-10-042763.txt,2010-02-26,15 MB
MS,3,Deloitte & Touche LLP,20090128,0,2008,30NOV2008,1,edgar/data/895421/0001193125-09-013429.txt,2009-01-29,4 MB
MS,3,Deloitte & Touche LLP,20080128,0,2007,30NOV2007,1,edgar/data/895421/0001193125-08-013719.txt,2008-01-29,4 MB
MS,3,Deloitte & Touche LLP,20070212,0,2006,30NOV2006,1,edgar/data/895421/0001193125-07-027693.txt,2007-02-13,5 MB
MS,3,Deloitte & Touche LLP,20060208,0,2005,30NOV2005,1,edgar/data/895421/0001193125-06-028736.txt,2006-02-13,3 MB
