Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,NEM,20OCT2006,19OCT2006,-1,0.0265340619,0.0374755523
Fama-French Plus Momentum,NEM,20OCT2006,20OCT2006,0,-0.020078531,-0.004588108
Fama-French Plus Momentum,NEM,20OCT2006,23OCT2006,1,0.0186057687,0.0163883166
Fama-French Plus Momentum,NEM,20OCT2006,24OCT2006,2,0.0087861521,0.0294677797
Fama-French Plus Momentum,NEM,20OCT2006,25OCT2006,3,0.0229200087,0.0552035088
Fama-French Plus Momentum,NEM,20OCT2006,26OCT2006,4,0.0004481393,0.0152410881
Fama-French Plus Momentum,NEM,20OCT2006,27OCT2006,5,-0.007390858,0.008920153
Fama-French Plus Momentum,NEM,20OCT2006,30OCT2006,6,0.0040613785,0.0000435681
Fama-French Plus Momentum,NEM,20OCT2006,31OCT2006,7,0.0173033811,0.0218902778
Fama-French Plus Momentum,NEM,20OCT2006,01NOV2006,8,0.0112657016,0.038255915
Fama-French Plus Momentum,CMS,22MAY2007,11MAY2007,-7,0.0010911324,-0.008576068
Fama-French Plus Momentum,CMS,22MAY2007,14MAY2007,-6,0.0098092807,0.0041716487
Fama-French Plus Momentum,CMS,22MAY2007,15MAY2007,-5,-0.001079355,-0.011522031
Fama-French Plus Momentum,CMS,22MAY2007,16MAY2007,-4,-0.012425691,-0.01855893
Fama-French Plus Momentum,CMS,22MAY2007,17MAY2007,-3,0.0136761479,0.0116462891
Fama-French Plus Momentum,CMS,22MAY2007,18MAY2007,-2,0.0113329235,0.0163871037
Fama-French Plus Momentum,CMS,22MAY2007,21MAY2007,-1,0.0069370903,0.0095135016
Fama-French Plus Momentum,CMS,22MAY2007,22MAY2007,0,-0.001589861,0.0004155823
Fama-French Plus Momentum,CMS,22MAY2007,23MAY2007,1,-0.022292998,-0.01764145
Fama-French Plus Momentum,CMS,22MAY2007,24MAY2007,2,-0.022801306,-0.014610271
Fama-French Plus Momentum,CMS,22MAY2007,25MAY2007,3,-0.006111145,-0.010615168
Fama-French Plus Momentum,CMS,22MAY2007,29MAY2007,4,0.0050307522,0.0019773556
Fama-French Plus Momentum,CMS,22MAY2007,30MAY2007,5,0.0111235129,0.00269109
Fama-French Plus Momentum,CMS,22MAY2007,31MAY2007,6,0.0038503681,0.0101633122
Fama-French Plus Momentum,CMS,22MAY2007,01JUN2007,7,0,-0.002813804
Fama-French Plus Momentum,CMS,22MAY2007,04JUN2007,8,-0.004931515,-0.008388973
Fama-French Plus Momentum,TXT,21FEB2006,09FEB2006,-7,0.0068094018,0.0135637718
Fama-French Plus Momentum,TXT,21FEB2006,10FEB2006,-6,0,0.0055592846
Fama-French Plus Momentum,TXT,21FEB2006,13FEB2006,-5,-0.005314039,0.00751819
Fama-French Plus Momentum,TXT,21FEB2006,14FEB2006,-4,0.0184555203,0.0080626172
Fama-French Plus Momentum,TXT,21FEB2006,15FEB2006,-3,0.0025035657,-0.006557522
Fama-French Plus Momentum,TXT,21FEB2006,16FEB2006,-2,0.0082055237,-0.003946891
Fama-French Plus Momentum,TXT,21FEB2006,17FEB2006,-1,0.0206416603,0.0215777172
Fama-French Plus Momentum,TXT,21FEB2006,21FEB2006,0,-0.0157171,-0.011379696
Fama-French Plus Momentum,TXT,21FEB2006,22FEB2006,1,0.0106845563,0.0054074715
Fama-French Plus Momentum,TXT,21FEB2006,23FEB2006,2,0.0159153696,0.0137811684
Fama-French Plus Momentum,TXT,21FEB2006,24FEB2006,3,0.0193253569,0.0116915779
Fama-French Plus Momentum,TXT,21FEB2006,27FEB2006,4,0.0002244141,-0.006193918
Fama-French Plus Momentum,TXT,21FEB2006,28FEB2006,5,-0.011776615,0.0015883122
Fama-French Plus Momentum,TXT,21FEB2006,01MAR2006,6,-0.001475397,-0.02318622
Fama-French Plus Momentum,TXT,21FEB2006,02MAR2006,7,-0.000909318,-0.001449937
Fama-French Plus Momentum,TXT,21FEB2006,03MAR2006,8,0.0010238491,0.0027947621
Fama-French Plus Momentum,XEL,14JAN2005,05JAN2005,-7,-0.011267649,-0.006452308
Fama-French Plus Momentum,XEL,14JAN2005,06JAN2005,-6,-0.001709332,-0.006821702
Fama-French Plus Momentum,XEL,14JAN2005,07JAN2005,-5,-0.005707784,-0.002644992
Fama-French Plus Momentum,XEL,14JAN2005,10JAN2005,-4,0.0137772541,0.0085850965
Fama-French Plus Momentum,XEL,14JAN2005,11JAN2005,-3,0.0033974783,0.0067165828
Fama-French Plus Momentum,XEL,14JAN2005,12JAN2005,-2,-0.001128586,-0.003554866
Fama-French Plus Momentum,XEL,14JAN2005,13JAN2005,-1,0.0096045239,0.0121397991
Fama-French Plus Momentum,XEL,14JAN2005,14JAN2005,0,0.0044767722,-0.000981515
Fama-French Plus Momentum,XEL,14JAN2005,18JAN2005,1,0.0128133446,0.0073006322
Fama-French Plus Momentum,XEL,14JAN2005,19JAN2005,2,-0.003850368,0.0010802629
