Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,QLTY,01JUL2005,0.1267122889,0.1657545469,0.1716274921,16
Fama-French Plus Momentum,TNS,01APR2008,0.2365352683,0.099629288,0.1080734629,16
Fama-French Plus Momentum,MGI,09MAR2010,0.0830324983,0.0075960259,0.0033489923,16
Fama-French Plus Momentum,MNKD,06AUG2012,-0.090196087,-0.294560319,-0.318682888,16
Fama-French Plus Momentum,GCT,09NOV2007,-0.167358232,0.0062015827,0.0014295111,16
Fama-French Plus Momentum,HURN,19JAN2011,-0.050074127,0.0387973384,0.039468855,16
Fama-French Plus Momentum,ORA,27MAR2012,-0.066004961,-0.111051691,-0.111131376,16
Fama-French Plus Momentum,TAP,07NOV2008,0.1378671286,0.2738324274,0.26801238,16
Fama-French Plus Momentum,PBH,28JUL2009,0.163461615,-0.019433526,-0.023369123,16
Fama-French Plus Momentum,THLD,30OCT2009,-0.38993711,-0.70196374,-0.68155709,16
Fama-French Plus Momentum,NOVL,24FEB2005,-0.059523792,0.019936166,0.0139260363,16
Fama-French Plus Momentum,PAY,09AUG2013,0.0362162206,0.0773962937,0.0756874606,16
Fama-French Plus Momentum,XRM,05NOV2008,-0.756465511,-1.304793001,-0.840254516,16
Fama-French Plus Momentum,LEAP,24MAR2010,0.1162196464,0.1141082345,0.1207104117,16
Fama-French Plus Momentum,ATRC,30JUL2010,0.0727689669,-0.091734846,-0.101345881,16
Fama-French Plus Momentum,IKAN,28FEB2013,-0.017341029,0.1052801617,0.0952794602,16
Fama-French Plus Momentum,CROX,14MAY2012,-0.159783672,-0.138687782,-0.130494406,16
Fama-French Plus Momentum,VG,17AUG2009,3.4320713216,2.1664810064,3.3191936195,16
Fama-French Plus Momentum,WCRX,28OCT2008,0.0974610595,0.1897779909,0.1820531145,16
Fama-French Plus Momentum,GSAT,11SEP2009,0.0001204465,-0.064320494,-0.078297055,16
Fama-French Plus Momentum,NLST,16FEB2010,0.0026881638,0.1203043824,0.0935629976,16
Fama-French Plus Momentum,ORBC,22MAY2009,-0.130434783,0.0151594702,-0.001617489,16
Fama-French Plus Momentum,HLYS,27JUL2009,0.0256410004,-0.037817204,-0.04035136,16
Fama-French Plus Momentum,OPXT,06OCT2009,0.0633333551,-0.220106119,-0.251710501,16
Fama-French Plus Momentum,BBND,06APR2009,-0.059451207,-0.298562519,-0.331908794,16
Fama-French Plus Momentum,FIRE,11FEB2009,-0.059435377,-0.128191484,-0.12995276,16
Fama-French Plus Momentum,LLNW,15NOV2010,0.0142857009,-0.129488962,-0.168551366,16
Fama-French Plus Momentum,BX,28AUG2013,0.0478381301,0.0862887069,0.0876234772,16
Fama-French Plus Momentum,SHOR,04JUN2010,-0.101663535,-0.088946408,-0.087201032,16
Fama-French Plus Momentum,ES,19NOV2012,0.2156133532,0.0710883137,0.0567095554,16
Fama-French Plus Momentum,OESX,17SEP2010,0.1069786808,0.4577713071,0.4068939062,16
Fama-French Plus Momentum,LRN,04MAR2013,0.0311372094,0.0251495579,0.0216626711,16
Fama-French Plus Momentum,UNH,22SEP2008,-0.155237108,0.0207764856,-0.016604233,16
Fama-French Plus Momentum,CRA,18MAR2010,0.1261538702,0.1175298315,0.1231884406,16
Fama-French Plus Momentum,CGA,18MAR2014,-0.072327049,-0.07268873,-0.074652604,16
Fama-French Plus Momentum,ADUS,21MAR2011,-0.017646998,0.0720277296,0.0641920902,16
Fama-French Plus Momentum,CIT,13MAR2012,0.0272794474,0.0186992635,0.0175331173,16
Fama-French Plus Momentum,ONP,04OCT2012,-0.015098492,0.0679804144,0.0643410818,16
Fama-French Plus Momentum,PPC,14NOV2011,-0.089090867,-0.041981755,-0.040857459,16
