Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,CSCO,28AUG2006,0.0208531047,-0.018637148,-0.01959151,15
Fama-French Plus Momentum,THOR,23AUG2006,0.0552799929,-0.157977364,-0.179825933,15
Fama-French Plus Momentum,TTI,21JUL2010,0.0876826882,-0.028204144,-0.027129189,15
Fama-French Plus Momentum,MRX,21SEP2011,-0.031530714,-0.042211027,-0.039587884,15
Fama-French Plus Momentum,REGN,09SEP2005,0.1072797112,0.1849459733,0.1841490288,15
Fama-French Plus Momentum,PNRA,11FEB2011,0.1927599325,0.2088846038,0.2119702724,15
Fama-French Plus Momentum,RTK,23MAR2011,0.0245901382,0.003128534,0.0014039807,15
Fama-French Plus Momentum,SPNC,07SEP2010,0.0406503669,0.0142868696,0.0117554101,15
Fama-French Plus Momentum,GILD,28JUN2010,-0.027645955,0.0334287731,0.0316402867,15
Fama-French Plus Momentum,PLMD,09MAY2007,-0.021185309,0.0118170811,0.0108329545,15
Fama-French Plus Momentum,EP,26OCT2006,-0.014367802,0.080373856,0.0748718488,15
Fama-French Plus Momentum,STEL,24AUG2005,0.1264979747,0.1137135989,0.1187441191,15
Fama-French Plus Momentum,ADAT,27JAN2011,-0.063829784,0.3037681127,0.2297353311,15
Fama-French Plus Momentum,SHFL,02FEB2010,-0.007633555,0.058056816,0.0603626486,15
Fama-French Plus Momentum,CRY,29AUG2005,0.101671314,0.2189457081,0.2172670711,15
Fama-French Plus Momentum,APSG,02APR2009,-0.030436959,-0.127803669,-0.136540513,15
Fama-French Plus Momentum,JAH,20JAN2009,-0.062447321,0.4269424396,0.3501422104,15
Fama-French Plus Momentum,SCON,22MAR2005,-0.260789213,-0.203957691,-0.180593336,15
Fama-French Plus Momentum,SGY,11JAN2010,-0.121228115,0.0029438997,-0.00344894,15
Fama-French Plus Momentum,CASH,05JAN2012,0.0122634351,-0.046534905,-0.055484147,15
Fama-French Plus Momentum,DYII,18OCT2006,-0.166666669,-0.88863333,-1.208406392,15
Fama-French Plus Momentum,ZLC,29FEB2008,0.1959286916,0.2242623416,0.2289838249,15
Fama-French Plus Momentum,OMG,24JUN2005,-0.073333368,-0.195653331,-0.204491197,15
Fama-French Plus Momentum,MATK,14DEC2007,0.1763534271,0.1719781722,0.1651291066,15
Fama-French Plus Momentum,MED,14JUL2005,1.1764706159,0.8998746755,1.2222103621,15
Fama-French Plus Momentum,VRTS,18FEB2005,-0.000820284,0.0715810816,0.0681534866,15
Fama-French Plus Momentum,BZH,05MAY2009,0.3693182409,-0.02121941,-0.140569893,15
Fama-French Plus Momentum,ARTX,07JAN2010,0.1847770564,0.4303055489,0.4122770488,15
Fama-French Plus Momentum,SNIC,12OCT2009,0.0556493159,-0.229085243,-0.285359786,15
Fama-French Plus Momentum,CBR,26NOV2013,0.1745561785,0.1207052929,0.1323560585,15
